ts,open,high,low,close,volume,trades
2026-07-15 01:00:00+00:00,6.0,6.0,6.0,6.0,5876.9,36
2026-07-15 02:00:00+00:00,6.0,7.2,6.0,7.2,156781.8,168
2026-07-15 03:00:00+00:00,7.2,7.2,7.2,7.2,48370.3,91
2026-07-15 04:00:00+00:00,7.2,8.64,7.2,7.7616,1499435.8,8591
2026-07-15 05:00:00+00:00,7.77,7.8096,7.2,7.3478,1172690.4,7176
2026-07-15 06:00:00+00:00,7.34,7.39,7.1,7.2277,524993.6,5389
2026-07-15 07:00:00+00:00,7.1937,7.88,7.16,7.6211,555846.2,4835
2026-07-15 08:00:00+00:00,7.6214,8.488,7.6,8.1205,699694.4,5943
2026-07-15 09:00:00+00:00,8.1486,8.38,7.9887,8.2651,280771.2,4768
2026-07-15 10:00:00+00:00,8.2661,8.39,7.7908,7.94,199966.1,2561
2026-07-15 11:00:00+00:00,7.9326,7.9974,7.7,7.9744,88990.1,2158
2026-07-15 12:00:00+00:00,7.9699,7.98,7.3276,7.4,225751.1,4380
2026-07-15 13:00:00+00:00,7.4,7.7033,7.3,7.4896,270806.0,4927
2026-07-15 14:00:00+00:00,7.4999,7.5525,7.341,7.3852,155189.5,3185
2026-07-15 15:00:00+00:00,7.4085,7.7799,7.341,7.5579,196546.5,3761
2026-07-15 16:00:00+00:00,7.5201,7.59,7.38,7.5674,96072.5,2069
2026-07-15 17:00:00+00:00,7.5674,7.6595,7.4385,7.5682,63143.7,2558
2026-07-15 18:00:00+00:00,7.5535,7.6594,7.5524,7.5996,34039.8,1765
2026-07-15 19:00:00+00:00,7.5942,7.6011,7.351,7.5272,93380.9,1988
2026-07-15 20:00:00+00:00,7.5272,7.6169,7.38,7.382,21024.6,758
2026-07-15 21:00:00+00:00,7.3848,7.47,7.371,7.4543,19859.9,1085
2026-07-15 22:00:00+00:00,7.4537,7.4537,7.351,7.3802,32826.4,1778
2026-07-15 23:00:00+00:00,7.3869,7.4418,7.3869,7.4207,9338.2,430
2026-07-16 00:00:00+00:00,7.423,7.4518,7.398,7.4508,40346.7,1194
2026-07-16 01:00:00+00:00,7.4516,7.47,7.2869,7.3933,183286.2,1922
2026-07-16 02:00:00+00:00,7.3931,7.4,7.3,7.31,49544.1,1675
2026-07-16 03:00:00+00:00,7.3199,7.3259,7.2759,7.2766,80077.7,1102
2026-07-16 04:00:00+00:00,7.2954,7.3062,7.21,7.2186,207686.1,1360
2026-07-16 05:00:00+00:00,7.2249,7.2684,7.2186,7.2358,16480.5,594
2026-07-16 06:00:00+00:00,7.246,7.4197,7.2305,7.3143,47756.2,864
2026-07-16 07:00:00+00:00,7.315,7.3219,7.233,7.2342,54518.3,1081
2026-07-16 08:00:00+00:00,7.2344,7.263,7.21,7.2101,76023.1,1542
2026-07-16 09:00:00+00:00,7.21,7.2296,7.21,7.212,39187.4,855
2026-07-16 10:00:00+00:00,7.212,7.2267,7.1566,7.18,238070.6,1531
2026-07-16 11:00:00+00:00,7.1801,7.399,7.18,7.29,45098.1,2483
2026-07-16 12:00:00+00:00,7.29,7.3,7.15,7.1717,53214.1,983
2026-07-16 13:00:00+00:00,7.1787,7.18,7.02,7.1413,187031.3,2154
2026-07-16 14:00:00+00:00,7.1449,7.2,7.1,7.1896,26728.8,776
2026-07-16 15:00:00+00:00,7.1895,7.2,7.1243,7.132,12308.4,456
2026-07-16 16:00:00+00:00,7.132,7.14,7.07,7.0715,15770.5,686
2026-07-16 17:00:00+00:00,7.0827,7.1704,7.0,7.058,79415.7,1875
2026-07-16 18:00:00+00:00,7.058,7.134,6.99,7.02,91039.6,1262
2026-07-16 19:00:00+00:00,7.02,7.1448,6.9541,7.0825,77589.3,1543
2026-07-16 20:00:00+00:00,7.0898,7.09,7.0021,7.0414,11173.8,925
2026-07-16 21:00:00+00:00,7.0494,7.09,6.93,7.0115,48045.7,933
2026-07-16 22:00:00+00:00,7.0119,7.0708,6.9253,6.9605,19169.7,774
2026-07-16 23:00:00+00:00,6.9609,7.03,6.91,6.991,98619.9,824
2026-07-17 00:00:00+00:00,6.9912,7.11,6.91,6.9246,70043.6,1312
2026-07-17 01:00:00+00:00,6.9246,6.9614,6.7959,6.7959,128155.9,900
2026-07-17 02:00:00+00:00,6.7959,6.8435,6.72,6.7203,70865.5,919
2026-07-17 03:00:00+00:00,6.7203,6.8233,6.72,6.7509,40808.9,718
